reference_svt,reference_rs,notes,image_index,designation,quantite_achat,quantite_stock,confidence,product_url,image_url,image_candidate_count,last_scraped_index,image_source,fournisseur,stable_image_url
990002,554-51300,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '55451300',,,,,,,0,,,
990005,554-51400,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '55451400',,,,,,,0,,,
990006,HNE55451101,,0,,,,,,,,,,,
090004,HNE55451101,,0,,,,,,,,,,,
990004,554-51301,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '55451301',,,,,,,0,,,
990003,554-51401,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '55451401',,,,,,,0,,,
990007,700-4541,,0,"Gaine thermorétractable, Noir Polyoléfine RS PRO, , Rétreint 3:1 Diam. 18 mm, Long. 3m RS PRO",1 bobine de 3 mètres,,,https://fr.rs-online.com/web/p/gaines-thermoretractables/7004541,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F7004541-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/990007__700-4541.jpg
990001,5020412,,0,,,,,,,,,,,
990001,6 030 060 010,,0,,,,,,,,,,,
990000,5020413,,0,,,,,,,,,,,
990000,6 030 080 010,,0,,,,,,,,,,,
090007,718-1272P,,0,TE Connectivity série 963143 Femelle Fiche mâle de cavité Enfichable,1 paquet de 10 unités,,,https://fr.rs-online.com/web/p/joints-de-connecteur-automobile/7181272,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F7181272-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/090007__718-1272P.jpg
090007,718-1272P,duplicate on sheet,0,TE Connectivity série 963143 Femelle Fiche mâle de cavité Enfichable,1 paquet de 10 unités,,,https://fr.rs-online.com/web/p/joints-de-connecteur-automobile/7181272,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F7181272-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/090007__718-1272P.jpg
090006,1-967067-1,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '19670671',,,,,,,0,,,
010080,756-1183,,0,Capot pour connecteur automobile HDSCS TE Connectivity Capuchon,1 paquet de 5 unités,,,https://fr.rs-online.com/web/p/capots-pour-connecteurs-automobiles/7561183,"https://media.rs-online.com/image/upload/bo_1.5px_solid_white,b_auto,c_pad,dpr_2,f_auto,h_399,q_auto,w_710/c_pad,h_399,w_710/F7561183-01?pgw=1",2,0,product-img,RS,https://abysse8.github.io/inventaire-images/images/010080__756-1183.jpg
010076,2292864-3,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '22928643',,,,,,,0,,,
010075,010075,,0,,,,,,,,,,,
010075,571-2292801-3,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '57122928013',,,,,,,0,,,
030020,0305-118-0295,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03051180295',,,,,,,0,,,
030020,5026369,,0,,,,,,,,,,,
030021,0305-118-0350,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03051180350',,,,,,,0,,,
030021,5020784,,0,,,,,,,,,,,
030022,0305-118-0375,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03051180375',,,,,,,0,,,
030022,5024773,,0,,,,,,,,,,,
030024,0305-118-0385,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03051180385',,,,,,,0,,,
030024,5024277,,0,,,,,,,,,,,
030025,0305-118-0380,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03051180380',,,,,,,0,,,
030025,5024057,,0,,,,,,,,,,,
030026,0305-118-0434,,0,Ce produit n’existe pas ou n’est pas défini dans votre organisation :  '03051180434',,,,,,,0,,,
030026,5023386,,0,,,,,,,,,,,
